region,year,ppl
Piemonte,2012,4357663
Piemonte,2013,4374052
Piemonte,2014,4436798
Piemonte,2015,4424467
Piemonte,2016,4404246
Piemonte,2017,4392526
Piemonte,2018,4375865
Piemonte,2019,4328565
Piemonte,2020,4311217
Valle d'Aosta,2012,126620
Valle d'Aosta,2013,127844
Valle d'Aosta,2014,128591
Valle d'Aosta,2015,128298
Valle d'Aosta,2016,127329
Valle d'Aosta,2017,126883
Valle d'Aosta,2018,126202
Valle d'Aosta,2019,125653
Valle d'Aosta,2020,125034
Liguria,2012,1567339
Liguria,2013,1565127
Liguria,2014,1591939
Liguria,2015,1583263
Liguria,2016,1571053
Liguria,2017,1565307
Liguria,2018,1556981
Liguria,2019,1532980
Liguria,2020,1524826
Lombardia,2012,9700881
Lombardia,2013,9794525
Lombardia,2014,9973397
Lombardia,2015,10002615
Lombardia,2016,10008349
Lombardia,2017,10019166
Lombardia,2018,10036258
Lombardia,2019,10010833
Lombardia,2020,10027602
Trentino-Alto Adige,2012,1029585
Trentino-Alto Adige,2013,1039934
Trentino-Alto Adige,2014,1051951
Trentino-Alto Adige,2015,1055934
Trentino-Alto Adige,2016,1059114
Trentino-Alto Adige,2017,1062860
Trentino-Alto Adige,2018,1067648
Trentino-Alto Adige,2019,1074034
Trentino-Alto Adige,2020,1078069
Veneto,2012,4853657
Veneto,2013,4881756
Veneto,2014,4926818
Veneto,2015,4927596
Veneto,2016,4915123
Veneto,2017,4907529
Veneto,2018,4905037
Veneto,2019,4884590
Veneto,2020,4879133
Friuli Venezia Giulia,2012,1217780
Friuli Venezia Giulia,2013,1221860
Friuli Venezia Giulia,2014,1229363
Friuli Venezia Giulia,2015,1227122
Friuli Venezia Giulia,2016,1221218
Friuli Venezia Giulia,2017,1217872
Friuli Venezia Giulia,2018,1215538
Friuli Venezia Giulia,2019,1210414
Friuli Venezia Giulia,2020,1206216
Emilia-Romagna,2012,4341240
Emilia-Romagna,2013,4377487
Emilia-Romagna,2014,4446354
Emilia-Romagna,2015,4450508
Emilia-Romagna,2016,4448146
Emilia-Romagna,2017,4448841
Emilia-Romagna,2018,4452629
Emilia-Romagna,2019,4459453
Emilia-Romagna,2020,4464119
Toscana,2012,3667780
Toscana,2013,3692828
Toscana,2014,3750511
Toscana,2015,3752654
Toscana,2016,3744398
Toscana,2017,3742437
Toscana,2018,3736968
Toscana,2019,3701343
Toscana,2020,3692555
Umbria,2012,883215
Umbria,2013,886239
Umbria,2014,896742
Umbria,2015,894762
Umbria,2016,891181
Umbria,2017,888908
Umbria,2018,884640
Umbria,2019,873744
Umbria,2020,870165
Marche,2012,1540688
Marche,2013,1545155
Marche,2014,1553138
Marche,2015,1550796
Marche,2016,1543752
Marche,2017,1538055
Marche,2018,1531753
Marche,2019,1520321
Marche,2020,1512672
Lazio,2012,5500022
Lazio,2013,5557276
Lazio,2014,5870451
Lazio,2015,5892425
Lazio,2016,5888472
Lazio,2017,5898124
Lazio,2018,5896693
Lazio,2019,5773076
Lazio,2020,5755700
Abruzzo,2012,1306416
Abruzzo,2013,1312507
Abruzzo,2014,1333939
Abruzzo,2015,1331574
Abruzzo,2016,1326513
Abruzzo,2017,1322247
Abruzzo,2018,1315196
Abruzzo,2019,1300645
Abruzzo,2020,1293941
Molise,2012,313145
Molise,2013,313341
Molise,2014,314725
Molise,2015,313348
Molise,2016,312027
Molise,2017,310449
Molise,2018,308493
Molise,2019,303790
Molise,2020,300516
Campania,2012,5764424
Campania,2013,5769750
Campania,2014,5869965
Campania,2015,5861529
Campania,2016,5850850
Campania,2017,5839084
Campania,2018,5826860
Campania,2019,5740291
Campania,2020,5712143
Puglia,2012,4050072
Puglia,2013,4050803
Puglia,2014,4090266
Puglia,2015,4090105
Puglia,2016,4077166
Puglia,2017,4063888
Puglia,2018,4048242
Puglia,2019,3975528
Puglia,2020,3953305
Basilicata,2012,577562
Basilicata,2013,576194
Basilicata,2014,578391
Basilicata,2015,576619
Basilicata,2016,573694
Basilicata,2017,570365
Basilicata,2018,567118
Basilicata,2019,558587
Basilicata,2020,553254
Calabria,2012,1958418
Calabria,2013,1958238
Calabria,2014,1980533
Calabria,2015,1976631
Calabria,2016,1970521
Calabria,2017,1965128
Calabria,2018,1956687
Calabria,2019,1912021
Calabria,2020,1894110
Sicilia,2012,4999854
Sicilia,2013,4999932
Sicilia,2014,5094937
Sicilia,2015,5092080
Sicilia,2016,5074261
Sicilia,2017,5056641
Sicilia,2018,5026989
Sicilia,2019,4908548
Sicilia,2020,4875290
Sardegna,2012,1637846
Sardegna,2013,1640379
Sardegna,2014,1663859
Sardegna,2015,1663286
Sardegna,2016,1658138
Sardegna,2017,1653135
Sardegna,2018,1648176
Sardegna,2019,1622257
Sardegna,2020,1611621
